DEPT,ECGR,ATRX,ATRT,NPHI,CAL1,HDAR,HROM,DTSM,DTCO
4763.5,90.2701,0.7104,0.7344,39.48,5.9896,6.406,2.7282,187.3656,94.8246
4764.0,84.3877,0.6117,0.6594,40.2,5.9826,6.3755,2.4174,188.8926,97.3041
4764.5,90.5893,0.5829,0.6352,40.18,5.9667,6.4741,2.6618,190.2511,95.3405
4765.0,86.4935,0.5855,0.5975,41.19,5.9936,6.5136,3.0097,187.2651,96.3715
4765.5,82.1749,0.4507,0.4604,40.48,5.941,6.5064,2.7119,186.3984,94.5653
4766.0,82.0641,0.4035,0.4202,43.6,5.9207,6.5691,2.6214,192.1479,98.3872
4766.5,85.5783,0.4753,0.5108,39.96,5.8391,6.4831,2.9169,187.0298,97.7378
4767.0,82.1301,0.4751,0.5347,42.42,5.8823,6.4383,2.8308,189.2882,95.1864
4767.5,89.67,0.4712,0.5015,41.39,6.0159,6.5763,2.616,192.5586,94.8784
4768.0,79.5047,0.4815,0.4929,39.78,6.1033,6.9277,2.4513,192.3053,97.5699
4768.5,77.7781,0.4938,0.5178,41.52,6.1072,6.7179,2.4589,191.7228,98.4095
4769.0,71.4227,0.5191,0.5632,43.53,6.0747,6.4096,2.5806,189.3186,93.9859
4769.5,62.894,0.6067,0.657,40.1,6.0991,6.3809,2.638,176.0929,90.4384
4770.0,62.8756,0.7436,0.794,37.18,6.1062,6.3684,2.6384,185.9972,94.4821
4770.5,61.3159,0.7638,0.8294,37.49,6.123,6.3702,2.6906,167.1251,90.507
4771.0,67.7856,0.7412,0.8246,36.31,6.0954,6.6723,2.6725,174.0566,87.5914
4771.5,68.9071,0.7613,0.8495,34.84,6.0784,7.037,2.4462,194.867,98.1513
4772.0,51.3544,0.6574,0.7158,41.91,6.0593,6.7484,2.4647,197.4303,107.2814
4772.5,41.6482,0.6004,0.6455,41.87,6.2133,6.4042,2.5588,186.1667,96.3848
4773.0,49.4658,0.6467,0.6821,39.36,6.1359,6.4293,2.5688,186.1981,98.2635
4773.5,51.1818,0.6827,0.7105,41.14,6.1079,6.3666,2.5387,184.1565,95.0176
4774.0,44.4269,0.7194,0.7448,39.72,6.0792,6.3343,2.652,168.5562,89.3404
4774.5,39.7344,0.8778,0.9128,36.18,6.1158,6.2464,2.6276,153.3685,86.4934
4775.0,18.3394,1.2535,1.3522,25.56,6.1052,6.2188,2.6727,132.2688,70.7472
4775.5,17.8696,2.1337,3.2885,27.24,6.0999,6.3522,2.6544,125.274,67.1614
4776.0,15.8205,4.4601,12.8244,27.2,6.1439,6.3648,2.6243,125.3504,71.3838
4776.5,14.3127,6.6992,30.0737,28.06,6.1375,6.3711,2.6211,122.9749,69.1782
4777.0,15.5126,7.1362,45.597,22.57,6.1076,6.3612,2.6805,113.1676,61.2485
4777.5,12.7436,7.7579,40.6534,21.81,6.1033,6.363,2.6891,112.0194,58.8575
4778.0,12.806,11.1666,57.078,19.86,6.1083,6.3648,2.6971,117.4563,58.5143
4778.5,16.8142,10.4227,40.5504,22.99,6.103,6.3702,2.6657,129.56,79.4583
4779.0,19.0589,6.9623,12.8012,29.57,6.1382,6.3648,2.6246,131.7542,74.7898
4779.5,13.8306,8.41,11.2572,25.44,6.1431,6.3648,2.6689,125.5286,67.3824
4780.0,13.5145,9.7921,25.3211,23.91,6.1315,6.3702,2.667,121.848,65.7801
4780.5,12.377,9.2082,31.1843,21.49,6.1811,6.3176,2.7133,116.6646,59.9194
4781.0,14.2446,12.5818,38.9209,21.99,6.1407,6.3182,2.7124,113.9934,61.1294
4781.5,13.5821,9.0781,26.9169,22.39,6.1125,6.3627,2.713,112.4475,58.4268
4782.0,14.3386,5.9736,16.5557,23.18,6.1302,6.3594,2.6833,114.7064,60.3926
4782.5,16.564,6.1895,16.2486,22.92,6.1046,6.3737,2.665,120.6019,64.7965
4783.0,18.9648,8.2299,15.9978,23.58,6.1022,6.3612,2.6421,122.7643,65.3612
4783.5,19.6979,10.2095,20.73,24.62,6.0987,6.3644,2.6202,123.2624,68.8207
4784.0,17.4887,39.419,17.8541,29.78,6.1453,6.3612,2.5868,125.2729,70.7766
4784.5,14.8907,231.3998,34.2928,30.99,6.1374,6.4042,2.576,132.1224,70.4238
4785.0,16.3196,90.9094,28.9707,30.32,6.2143,6.4096,2.6009,132.5793,68.3803
4785.5,14.9894,51.7969,19.8148,24.73,6.1819,6.3988,2.6376,124.1953,68.8545
4786.0,14.729,48.9118,15.6414,20.22,6.2194,6.4024,2.6948,117.1706,62.8902
4786.5,13.121,48.2054,17.4946,20.03,6.1757,6.4024,2.7186,112.2971,58.4452
4787.0,12.8246,43.8908,25.2779,21.14,6.1762,6.4062,2.674,120.0926,60.4794
4787.5,14.7304,33.6546,36.3749,18.98,6.1791,6.4168,2.7348,121.2129,59.6903
4788.0,13.1193,22.4233,43.5897,21.54,6.1721,6.4096,2.6973,122.9601,59.4526
4788.5,13.7786,17.5949,41.4662,21.89,6.2166,6.4257,2.6262,125.6096,63.2257
4789.0,17.4178,14.9134,25.1316,26.0,6.173,6.4168,2.6084,124.2059,64.4183
4789.5,18.1998,13.7107,17.853,27.46,6.1796,6.4347,2.5259,125.4406,64.604
4790.0,26.9048,12.3021,33.5671,28.06,6.1773,6.4831,2.5712,127.5979,66.9118
4790.5,42.8163,6.7756,13.3186,27.03,6.2186,6.4723,2.6587,140.8402,78.6041
4791.0,36.1767,6.368,13.2056,27.23,6.2254,6.4419,2.5826,146.7025,79.7413
4791.5,32.218,19.4502,73.4482,24.48,6.2317,6.4414,2.6305,142.8122,78.997
4792.0,33.2923,93.3871,59.6035,25.34,6.2937,6.4365,2.6421,138.0477,73.08
4792.5,28.664,130.7598,33.1496,17.47,6.2159,6.4078,2.7002,131.361,73.1173
4793.0,42.6726,48.5804,55.4284,22.1,6.2149,6.4447,2.7729,130.9303,72.3832
4793.5,101.7312,15.845,23.0664,29.61,6.1755,6.4006,2.6699,117.9871,61.0896
4794.0,76.6337,5.1763,5.4031,22.1,6.1834,6.4293,2.6994,125.4187,70.7108
4794.5,86.5386,11.7181,12.924,25.61,6.175,6.4454,2.6786,113.8226,64.9264
4795.0,88.4062,5.4621,5.2407,26.46,6.213,6.4401,2.5946,122.7489,69.3431
4795.5,66.5493,7.8033,8.8633,22.41,6.2593,6.4024,2.7924,106.4069,61.5425
4796.0,67.1463,35.0164,26.0976,22.65,6.3236,6.4029,2.6771,103.8502,62.4462
4796.5,58.867,17.2583,14.1323,22.24,6.2148,6.3684,2.6737,109.895,64.5339
4797.0,60.4585,13.1315,11.886,22.56,6.2669,6.3719,2.7284,105.8346,62.4122
4797.5,70.665,14.4001,13.365,25.12,6.2583,6.3276,2.6985,105.9315,62.7077
4798.0,75.3038,17.3738,16.9064,21.7,6.2524,6.2841,2.6916,104.2882,61.2684
4798.5,42.859,22.0542,21.2667,11.18,6.2049,6.2339,2.6688,102.3662,60.5294
4799.0,21.1633,30.9464,28.2899,5.92,6.1446,6.1604,2.5933,96.2693,62.8928
4799.5,19.0566,122.6726,284.608,5.75,6.1009,6.1263,2.4619,99.0903,62.971
4800.0,14.2357,582.6841,366.2667,7.99,6.0639,6.1335,2.5305,97.762,60.1294
4800.5,21.9182,982.0423,255.9467,9.38,5.9535,6.1317,2.46,103.8273,64.5605
4801.0,36.0159,437.2129,195.2057,15.12,5.9528,6.1302,2.4152,105.3349,66.3275
4801.5,44.5003,164.7261,92.2648,15.52,5.9535,6.1299,2.4025,111.7284,70.5966
4802.0,36.5722,113.1275,71.84,12.95,5.9489,6.1317,2.4035,112.7625,70.9778
4802.5,25.2896,102.7684,72.8235,15.17,5.9522,6.1228,2.4652,104.6805,67.3139
4803.0,12.8475,159.4369,106.6762,6.92,5.9681,6.1246,2.4134,106.0782,68.4495
4803.5,19.1723,330.9058,211.8462,5.4,5.9594,6.1281,2.4333,103.6514,66.377
4804.0,18.9743,328.6174,150.4669,6.04,5.9903,6.2088,2.5053,97.5348,64.492
4804.5,50.8525,145.5158,93.12,6.87,5.9896,6.2411,2.4982,96.3904,64.6322
4805.0,40.9748,83.6811,72.1094,7.73,5.9888,6.2823,2.4899,94.1641,64.2949
4805.5,23.8601,31.6269,25.3156,8.27,6.0369,6.2787,2.4596,103.9413,66.7014
4806.0,21.1046,61.856,41.0009,8.65,6.1795,6.336,2.4216,104.3217,68.8221
4806.5,35.4844,76.015,38.6281,8.73,6.1788,6.4078,2.4314,101.3322,68.2888
4807.0,30.9878,57.0608,26.4135,9.56,6.139,6.4401,2.4282,105.2855,70.532
4807.5,31.5078,49.2362,21.6445,9.83,6.2556,6.5082,2.4032,112.1442,71.0757
4808.0,29.6083,51.9929,22.7944,8.9,6.2891,6.363,2.449,111.9518,72.4266
4808.5,87.7047,45.2658,22.9107,8.36,6.2922,6.2858,2.5357,109.4903,70.5443
4809.0,141.2555,25.6385,14.0535,13.91,6.368,6.2662,2.6549,110.5748,68.9813
4809.5,184.7385,8.2792,6.5892,22.84,6.2524,6.2285,2.625,113.8811,67.0965
4810.0,111.0766,8.5045,7.5124,20.34,6.163,6.2751,2.7617,113.2307,65.5556
4810.5,119.1147,8.4132,8.255,18.74,6.1427,6.2877,2.6387,122.0003,69.3309
4811.0,115.4364,11.3468,11.1336,17.06,6.1788,6.2859,2.8781,115.6802,62.8385
4811.5,128.4121,13.2304,13.6718,15.87,6.1719,6.3276,2.6603,110.09,66.7271
4812.0,103.7203,11.7471,13.1783,12.62,6.1401,6.2393,2.7233,112.2374,65.5304
4812.5,93.2019,15.178,14.8599,10.74,6.1819,6.2423,2.6666,111.752,65.2756
4813.0,90.1149,16.5954,16.1112,9.37,6.1727,6.25,2.6659,109.4791,64.3387
4813.5,96.6796,17.2119,22.6488,13.62,6.1394,6.2423,2.7161,104.673,62.3964
4814.0,95.0594,19.9649,21.3013,9.4,6.0953,6.2393,2.6721,106.3998,62.4953
4814.5,71.2686,17.9562,15.9289,9.26,6.0764,6.2411,2.6518,106.0207,63.3226
4815.0,78.0996,19.8532,19.7541,10.88,6.1037,6.2447,2.6657,103.9326,62.2552
4815.5,115.7796,17.6796,17.7086,11.88,6.116,6.2464,2.7227,104.7766,63.3439
4816.0,106.1067,19.0543,19.3605,15.55,6.1068,6.2411,2.6527,111.9219,62.0184
4816.5,86.3715,12.608,12.4094,9.48,6.1039,6.2429,2.6864,113.0247,67.0018
4817.0,107.4197,14.1516,15.4296,12.78,6.1355,6.2393,2.6368,105.6824,62.289
4817.5,107.6231,13.2936,14.2941,13.06,6.0953,6.2473,2.6531,111.2144,65.6718
4818.0,106.8479,12.3137,12.7273,13.39,6.1062,6.2439,2.6692,106.8535,64.5194
4818.5,98.7478,14.3976,13.5352,13.53,6.0815,6.2423,2.6857,106.2848,64.4462
4819.0,112.9596,15.6421,13.5154,14.91,6.0991,6.2423,2.6625,112.0706,65.5312
4819.5,105.4859,14.7209,15.299,12.9,6.0999,6.2172,2.6644,111.9022,64.6413
